device,sm,M,N,K,kernel,ms,tflops,pct_of_cublas,max_abs_err
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,mma_warptile,0.564,243.77,457.4,0.00769
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,cublas,2.579,53.30,100.0,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,cublas_tf32,0.937,146.67,275.2,0.00765
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,cublas_tc,0.578,237.93,446.4,0.00769
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,naive,232.044,4.74,8.6,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,tiled,151.486,7.26,13.2,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,wmma,10.660,103.14,188.0,0.0112
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,mma_base,23.220,47.35,86.3,0.0112
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,mma_swizzle,18.746,58.65,106.9,0.0112
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,mma_vec,6.653,165.26,301.3,0.0112
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,mma_pipe,6.176,178.03,324.5,0.0112
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,mma_warptile,4.521,243.18,443.3,0.0112
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,cublas,20.044,54.86,100.0,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,cublas_tf32,7.221,152.26,277.6,0.0113
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,cublas_tc,4.801,229.01,417.5,0.0112
